time=2024-09-11T21:50:01.252Z level=INFO msg=someLoggerINfo
time=2024-09-12T05:50:13.514+08:00 level=INFO msg=someLoggerINfo
time=2024-09-11T21:51:02.190Z level=INFO source=/app/cmd/main.go:36 msg=someLoggerINfo
time=2024-09-12T05:51:03.928+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:36 msg=someLoggerINfo
time=2024-09-12T05:53:28.134+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:36 msg=someLoggerINfo
time=2024-09-11T22:02:02.195Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:02:32.298+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:07:05.758+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:07:57.151+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:08:40.316+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:11:32.769+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:18:06.932Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:18:07.321+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:18:38.301Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:18:38.412+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:20:18.495+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:22:11.912Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:22:12.067+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:24:00.329Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:24:00.507+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:27:21.594Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:27:22.149+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:30:58.919Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:30:59.382+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:33:05.842Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:33:06.371+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:34:32.898Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:34:33.390+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:35:44.141Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:35:45.091+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:36:33.901Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:36:34.710+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-11T22:37:16.352Z level=INFO source=/app/cmd/main.go:40 msg=someLoggerINfo
time=2024-09-12T06:37:16.963+08:00 level=INFO source=C:/Users/JOONiX/Desktop/golang/http_server/cmd/main.go:40 msg=someLoggerINfo
